timestamp,mote_id,has_fault_type,temperature
'2007-09-15T00:06:00','9',0,6.480
'2007-09-15T00:08:00','9',0,6.360
'2007-09-15T00:10:00','9',0,6.300
'2007-09-15T00:12:00','9',0,6.230
'2007-09-15T00:14:00','9',0,6.180
'2007-09-15T00:16:00','9',0,6.180
'2007-09-15T00:18:00','9',0,6.160
'2007-09-15T00:20:00','9',0,6.160
'2007-09-15T00:22:00','9',0,6.150
'2007-09-15T00:24:00','9',0,6.220
'2007-09-15T00:26:00','9',0,6.420
'2007-09-15T00:28:00','9',0,6.380
'2007-09-15T00:30:00','9',0,6.420
'2007-09-15T00:32:00','9',0,6.470
'2007-09-15T00:34:00','9',0,6.450
'2007-09-15T00:36:00','9',0,6.420
'2007-09-15T00:38:00','9',0,6.380
'2007-09-15T00:40:00','9',0,6.390
'2007-09-15T00:42:00','9',0,6.460
'2007-09-15T00:44:00','9',0,6.460
'2007-09-15T00:46:00','9',0,6.420
'2007-09-15T00:48:00','9',0,6.420
'2007-09-15T00:50:00','9',0,6.390
'2007-09-15T00:52:00','9',0,6.340
'2007-09-15T00:54:00','9',0,6.340
'2007-09-15T00:56:00','9',0,6.370
'2007-09-15T00:58:00','9',0,6.360
'2007-09-15T01:00:00','9',0,6.380
'2007-09-15T01:02:00','9',0,6.350
'2007-09-15T01:04:00','9',0,6.330
'2007-09-15T01:06:00','9',0,6.290
'2007-09-15T01:08:00','9',0,6.280
'2007-09-15T01:10:00','9',0,6.290
'2007-09-15T01:12:00','9',0,6.320
'2007-09-15T01:14:00','9',0,6.200
'2007-09-15T01:16:00','9',0,6.170
'2007-09-15T01:18:00','9',0,6.120
'2007-09-15T01:20:00','9',0,6.080
'2007-09-15T01:22:00','9',0,5.920
'2007-09-15T01:24:00','9',0,5.980
'2007-09-15T01:26:00','9',0,6.020
'2007-09-15T01:28:00','9',0,6.020
'2007-09-15T01:30:00','9',0,6.100
'2007-09-15T01:32:00','9',0,6.080
'2007-09-15T01:34:00','9',0,6.120
'2007-09-15T01:36:00','9',0,6.100
'2007-09-15T01:38:00','9',0,6.180
'2007-09-15T01:40:00','9',0,6.220
'2007-09-15T01:42:00','9',0,6.250
'2007-09-15T01:44:00','9',0,6.260
'2007-09-15T01:46:00','9',0,6.220
'2007-09-15T01:48:00','9',0,6.210
'2007-09-15T01:50:00','9',0,6.180
'2007-09-15T01:52:00','9',0,6.180
'2007-09-15T01:54:00','9',0,6.220
'2007-09-15T01:56:00','9',0,6.220
'2007-09-15T01:58:00','9',0,6.190
'2007-09-15T02:00:00','9',0,6.220
'2007-09-15T02:02:00','9',0,6.220
'2007-09-15T02:04:00','9',0,6.240
'2007-09-15T02:06:00','9',0,6.250
'2007-09-15T02:08:00','9',0,6.280
'2007-09-15T02:10:00','9',0,6.370
'2007-09-15T02:12:00','9',0,6.310
'2007-09-15T02:14:00','9',0,6.280
'2007-09-15T02:16:00','9',0,6.240
'2007-09-15T02:18:00','9',0,6.230
'2007-09-15T02:20:00','9',0,6.240
'2007-09-15T02:22:00','9',0,6.240
'2007-09-15T02:24:00','9',0,6.280
'2007-09-15T02:26:00','9',0,6.240
'2007-09-15T02:28:00','9',0,6.240
'2007-09-15T02:30:00','9',0,6.210
'2007-09-15T02:32:00','9',0,6.170
