timestamp,mote_id,has_fault_type,temperature
'2007-09-21T09:50:00','7',0,5.820
'2007-09-21T09:52:00','7',0,6.060
'2007-09-21T09:54:00','7',0,6.240
'2007-09-21T09:56:00','7',0,6.420
'2007-09-21T09:58:00','7',0,6.610
'2007-09-21T10:00:00','7',0,6.900
'2007-09-21T10:02:00','7',0,6.940
'2007-09-21T10:04:00','7',0,7.200
'2007-09-21T10:06:00','7',0,6.880
'2007-09-21T10:08:00','7',0,6.930
'2007-09-21T10:10:00','7',0,7.140
'2007-09-21T10:12:00','7',0,7.280
'2007-09-21T10:14:00','7',0,7.100
'2007-09-21T10:16:00','7',0,7.420
'2007-09-21T10:18:00','7',0,7.110
'2007-09-21T10:20:00','7',0,7.460
'2007-09-21T10:22:00','7',0,7.610
'2007-09-21T10:24:00','7',0,7.250
'2007-09-21T10:26:00','7',0,7.120
'2007-09-21T10:28:00','7',0,7.340
'2007-09-21T10:30:00','7',0,7.240
'2007-09-21T10:32:00','7',0,7.200
'2007-09-21T10:34:00','7',0,7.280
'2007-09-21T10:36:00','7',0,7.480
'2007-09-21T10:38:00','7',0,7.500
'2007-09-21T10:40:00','7',0,7.510
'2007-09-21T10:42:00','7',0,7.520
'2007-09-21T10:44:00','7',0,7.440
'2007-09-21T10:46:00','7',0,7.470
'2007-09-21T10:48:00','7',0,7.560
'2007-09-21T10:50:00','7',0,7.740
'2007-09-21T10:52:00','7',0,7.570
'2007-09-21T10:54:00','7',0,7.730
'2007-09-21T10:56:00','7',0,7.740
'2007-09-21T10:58:00','7',0,7.930
'2007-09-21T11:00:00','7',0,7.870
'2007-09-21T11:02:00','7',0,7.870
'2007-09-21T11:04:00','7',0,7.680
'2007-09-21T11:06:00','7',0,8.160
'2007-09-21T11:08:00','7',0,8.260
'2007-09-21T11:10:00','7',0,8.020
'2007-09-21T11:12:00','7',0,7.900
'2007-09-21T11:14:00','7',0,7.940
'2007-09-21T11:16:00','7',0,7.910
'2007-09-21T11:18:00','7',0,8.040
'2007-09-21T11:20:00','7',0,8.120
'2007-09-21T11:22:00','7',0,8.090
'2007-09-21T11:24:00','7',0,8.140
'2007-09-21T11:26:00','7',0,8.230
'2007-09-21T11:28:00','7',0,8.200
'2007-09-21T11:30:00','7',0,8.380
'2007-09-21T11:32:00','7',0,8.240
'2007-09-21T11:34:00','7',0,8.250
'2007-09-21T11:36:00','7',0,8.340
'2007-09-21T11:38:00','7',0,8.350
'2007-09-21T11:40:00','7',0,8.350
'2007-09-21T11:42:00','7',0,8.350
'2007-09-21T11:44:00','7',0,8.360
'2007-09-21T11:46:00','7',0,8.490
'2007-09-21T11:48:00','7',0,8.560
'2007-09-21T11:50:00','7',0,8.370
'2007-09-21T11:52:00','7',0,8.080
'2007-09-21T11:54:00','7',0,8.150
'2007-09-21T11:56:00','7',0,8.360
'2007-09-21T11:58:00','7',0,8.410
'2007-09-21T12:00:00','7',0,8.590
'2007-09-21T12:02:00','7',0,8.480
'2007-09-21T12:04:00','7',0,8.440
'2007-09-21T12:06:00','7',0,8.420
'2007-09-21T12:08:00','7',0,8.370
'2007-09-21T12:10:00','7',0,8.420
'2007-09-21T12:12:00','7',0,8.420
'2007-09-21T12:14:00','7',0,8.640
'2007-09-21T12:16:00','7',0,8.710
'2007-09-21T12:18:00','7',0,8.880
'2007-09-21T12:20:00','7',0,8.840
'2007-09-21T12:22:00','7',0,8.840
'2007-09-21T12:24:00','7',0,9.420
'2007-09-21T12:26:00','7',0,8.850
'2007-09-21T12:28:00','7',0,8.740
'2007-09-21T12:30:00','7',0,8.610
'2007-09-21T12:32:00','7',0,8.880
'2007-09-21T12:34:00','7',0,8.740
'2007-09-21T12:36:00','7',0,8.840
'2007-09-21T12:38:00','7',0,8.970
'2007-09-21T12:40:00','7',0,8.780
'2007-09-21T12:42:00','7',0,9.000
'2007-09-21T12:44:00','7',0,9.110
'2007-09-21T12:46:00','7',0,9.110
'2007-09-21T12:48:00','7',0,9.110
'2007-09-21T12:50:00','7',0,9.500
'2007-09-21T12:52:00','7',0,9.170
'2007-09-21T12:54:00','7',0,8.980
'2007-09-21T12:56:00','7',0,9.060
'2007-09-21T12:58:00','7',0,9.360
'2007-09-21T13:00:00','7',0,9.770
'2007-09-21T13:02:00','7',0,9.640
'2007-09-21T13:04:00','7',0,9.080
'2007-09-21T13:06:00','7',0,9.230
'2007-09-21T13:08:00','7',0,9.490
'2007-09-21T13:10:00','7',0,9.460
'2007-09-21T13:12:00','7',0,9.440
'2007-09-21T13:14:00','7',0,10.020
'2007-09-21T13:16:00','7',0,9.540
'2007-09-21T13:18:00','7',0,9.480
'2007-09-21T13:20:00','7',0,9.590
'2007-09-21T13:22:00','7',0,9.880
'2007-09-21T13:24:00','7',0,9.670
'2007-09-21T13:26:00','7',0,9.780
'2007-09-21T13:28:00','7',0,9.580
'2007-09-21T13:30:00','7',0,9.740
'2007-09-21T13:32:00','7',0,9.980
'2007-09-21T13:34:00','7',0,9.710
'2007-09-21T13:36:00','7',0,9.580
'2007-09-21T13:38:00','7',0,9.390
'2007-09-21T13:40:00','7',0,9.530
'2007-09-21T13:42:00','7',0,9.610
'2007-09-21T13:44:00','7',0,9.650
'2007-09-21T13:46:00','7',0,9.650
'2007-09-21T13:48:00','7',0,9.560
'2007-09-21T13:50:00','7',0,9.900
'2007-09-21T13:52:00','7',0,9.800
'2007-09-21T13:54:00','7',0,9.900
'2007-09-21T13:56:00','7',0,10.010
'2007-09-21T13:58:00','7',0,9.890
'2007-09-21T14:00:00','7',0,10.510
'2007-09-21T14:02:00','7',0,10.080
'2007-09-21T14:04:00','7',0,10.230
'2007-09-21T14:06:00','7',0,10.240
'2007-09-21T14:08:00','7',0,10.020
'2007-09-21T14:10:00','7',0,9.940
'2007-09-21T14:12:00','7',0,10.380
'2007-09-21T14:14:00','7',0,10.140
'2007-09-21T14:16:00','7',0,9.960
'2007-09-21T14:18:00','7',0,9.980
'2007-09-21T14:20:00','7',0,9.640
'2007-09-21T14:22:00','7',0,10.600
'2007-09-21T14:24:00','7',0,9.870
'2007-09-21T14:26:00','7',0,10.140
'2007-09-21T14:28:00','7',0,10.010
'2007-09-21T14:30:00','7',0,10.030
'2007-09-21T14:32:00','7',0,10.270
'2007-09-21T14:34:00','7',0,10.210
'2007-09-21T14:36:00','7',0,10.180
'2007-09-21T14:38:00','7',0,10.640
'2007-09-21T14:40:00','7',0,10.280
'2007-09-21T14:42:00','7',0,10.760
'2007-09-21T14:44:00','7',0,10.580
'2007-09-21T14:46:00','7',0,10.320
'2007-09-21T14:48:00','7',0,10.540
'2007-09-21T14:50:00','7',0,10.200
'2007-09-21T14:52:00','7',0,10.210
'2007-09-21T14:54:00','7',0,10.380
'2007-09-21T14:56:00','7',0,10.060
'2007-09-21T14:58:00','7',0,10.360
'2007-09-21T15:00:00','7',0,10.480
'2007-09-21T15:02:00','7',0,10.240
'2007-09-21T15:04:00','7',0,10.180
'2007-09-21T15:06:00','7',0,10.370
'2007-09-21T15:08:00','7',0,10.810
'2007-09-21T15:10:00','7',0,10.480
'2007-09-21T15:12:00','7',0,10.520
'2007-09-21T15:14:00','7',0,10.330
'2007-09-21T15:16:00','7',0,10.060
