timestamp,mote_id,has_fault_type,temperature
'2015-08-10T18:00:00','santander193',0,27.84
'2015-08-10T18:05:00','santander193',0,27.82
'2015-08-10T18:10:00','santander193',0,27.81
'2015-08-10T18:15:00','santander193',0,27.79
'2015-08-10T18:20:00','santander193',0,27.77
'2015-08-10T18:25:00','santander193',0,27.76
'2015-08-10T18:30:00','santander193',0,27.74
'2015-08-10T18:35:00','santander193',0,27.74
'2015-08-10T18:40:00','santander193',0,27.52
'2015-08-10T18:45:00','santander193',0,27.31
'2015-08-10T18:50:00','santander193',0,27.09
'2015-08-10T18:55:00','santander193',0,26.87
'2015-08-10T19:00:00','santander193',0,26.65
'2015-08-10T19:05:00','santander193',0,26.44
'2015-08-10T19:10:00','santander193',0,26.22
'2015-08-10T19:15:00','santander193',0,26.00
'2015-08-10T19:20:00','santander193',0,25.78
'2015-08-10T19:25:00','santander193',0,25.57
'2015-08-10T19:30:00','santander193',0,25.35
'2015-08-10T19:35:00','santander193',0,25.13
'2015-08-10T19:40:00','santander193',0,24.91
'2015-08-10T19:45:00','santander193',0,24.70
'2015-08-10T19:50:00','santander193',0,24.48
'2015-08-10T19:55:00','santander193',0,24.26
'2015-08-10T20:00:00','santander193',0,24.05
'2015-08-10T20:05:00','santander193',0,23.83
'2015-08-10T20:10:00','santander193',0,23.61
'2015-08-10T20:15:00','santander193',0,23.39
'2015-08-10T20:20:00','santander193',0,23.18
'2015-08-10T20:25:00','santander193',0,22.96
'2015-08-10T20:30:00','santander193',0,22.74
'2015-08-10T20:35:00','santander193',0,22.52
'2015-08-10T20:40:00','santander193',0,22.31
'2015-08-10T20:45:00','santander193',0,22.09
'2015-08-10T20:50:00','santander193',0,21.87
'2015-08-10T20:55:00','santander193',0,21.65
'2015-08-10T21:00:00','santander193',0,21.44
'2015-08-10T21:05:00','santander193',0,21.22
'2015-08-10T21:10:00','santander193',0,21.22
'2015-08-10T21:15:00','santander193',0,21.22
'2015-08-10T21:20:00','santander193',0,21.22
'2015-08-10T21:25:00','santander193',0,21.01
'2015-08-10T21:30:00','santander193',0,20.79
'2015-08-10T21:35:00','santander193',0,20.58
'2015-08-10T21:40:00','santander193',0,20.32
'2015-08-10T21:45:00','santander193',0,20.38
'2015-08-10T21:50:00','santander193',0,20.19
'2015-08-10T21:55:00','santander193',0,20.45
'2015-08-10T22:00:00','santander193',0,20.38
'2015-08-10T22:05:00','santander193',0,20.38
'2015-08-10T22:10:00','santander193',0,20.32
'2015-08-10T22:15:00','santander193',0,20.45
'2015-08-10T22:20:00','santander193',0,20.38
'2015-08-10T22:25:00','santander193',0,20.06
'2015-08-10T22:30:00','santander193',0,20.12
'2015-08-10T22:35:00','santander193',0,20.00
'2015-08-10T22:40:00','santander193',0,19.87
'2015-08-10T22:45:00','santander193',0,19.81
'2015-08-10T22:50:00','santander193',0,19.76
'2015-08-10T22:55:00','santander193',0,19.70
'2015-08-10T23:00:00','santander193',0,19.64
'2015-08-10T23:05:00','santander193',0,19.59
'2015-08-10T23:10:00','santander193',0,19.53
'2015-08-10T23:15:00','santander193',0,19.47
'2015-08-10T23:20:00','santander193',0,19.42
'2015-08-10T23:25:00','santander193',0,19.36
'2015-08-10T23:30:00','santander193',0,19.31
'2015-08-10T23:35:00','santander193',0,19.25
'2015-08-10T23:40:00','santander193',0,19.19
'2015-08-10T23:45:00','santander193',0,19.14
'2015-08-10T23:50:00','santander193',0,19.08
'2015-08-10T23:55:00','santander193',0,19.02
'2015-08-11T00:00:00','santander193',0,18.97
'2015-08-11T00:05:00','santander193',0,18.91
'2015-08-11T00:10:00','santander193',0,18.85
'2015-08-11T00:15:00','santander193',0,18.80
'2015-08-11T00:20:00','santander193',0,18.74
'2015-08-11T00:25:00','santander193',0,18.68
'2015-08-11T00:30:00','santander193',0,18.63
'2015-08-11T00:35:00','santander193',0,18.57
'2015-08-11T00:40:00','santander193',0,18.52
'2015-08-11T00:45:00','santander193',0,18.46
'2015-08-11T00:50:00','santander193',0,18.40
'2015-08-11T00:55:00','santander193',0,18.35
'2015-08-11T01:00:00','santander193',0,18.29
'2015-08-11T01:05:00','santander193',0,18.23
'2015-08-11T01:10:00','santander193',0,18.18
