timestamp,mote_id,has_fault_type,temperature
'2007-09-15T00:06:00','15',0,6.050
'2007-09-15T00:08:00','15',0,5.940
'2007-09-15T00:10:00','15',0,6.000
'2007-09-15T00:12:00','15',0,5.920
'2007-09-15T00:14:00','15',0,5.890
'2007-09-15T00:16:00','15',0,5.800
'2007-09-15T00:18:00','15',0,5.800
'2007-09-15T00:20:00','15',0,5.800
'2007-09-15T00:22:00','15',0,5.770
'2007-09-15T00:24:00','15',0,5.820
'2007-09-15T00:26:00','15',0,5.860
'2007-09-15T00:28:00','15',0,5.970
'2007-09-15T00:30:00','15',0,6.060
'2007-09-15T00:32:00','15',0,5.920
'2007-09-15T00:34:00','15',0,6.000
'2007-09-15T00:36:00','15',0,5.940
'2007-09-15T00:38:00','15',0,5.930
'2007-09-15T00:40:00','15',0,5.970
'2007-09-15T00:42:00','15',0,5.890
'2007-09-15T00:44:00','15',0,5.940
'2007-09-15T00:46:00','15',0,5.930
'2007-09-15T00:48:00','15',0,5.920
'2007-09-15T00:50:00','15',0,5.870
'2007-09-15T00:52:00','15',0,5.780
'2007-09-15T00:54:00','15',0,5.830
'2007-09-15T00:56:00','15',0,5.820
'2007-09-15T00:58:00','15',0,5.790
'2007-09-15T01:00:00','15',0,5.760
'2007-09-15T01:02:00','15',0,5.730
'2007-09-15T01:04:00','15',0,5.760
'2007-09-15T01:06:00','15',0,5.720
'2007-09-15T01:08:00','15',0,5.660
'2007-09-15T01:10:00','15',0,5.590
'2007-09-15T01:12:00','15',0,5.600
'2007-09-15T01:14:00','15',0,5.560
'2007-09-15T01:16:00','15',0,5.500
'2007-09-15T01:18:00','15',0,5.530
'2007-09-15T01:20:00','15',0,5.400
'2007-09-15T01:22:00','15',0,5.300
'2007-09-15T01:24:00','15',0,5.360
'2007-09-15T01:26:00','15',0,5.300
'2007-09-15T01:28:00','15',0,5.260
'2007-09-15T01:30:00','15',0,5.360
'2007-09-15T01:32:00','15',0,5.460
'2007-09-15T01:34:00','15',0,5.460
'2007-09-15T01:36:00','15',0,5.560
'2007-09-15T01:38:00','15',0,5.580
'2007-09-15T01:40:00','15',0,5.580
'2007-09-15T01:42:00','15',0,5.600
'2007-09-15T01:44:00','15',0,5.590
'2007-09-15T01:46:00','15',0,5.600
'2007-09-15T01:48:00','15',0,5.610
'2007-09-15T01:50:00','15',0,5.630
'2007-09-15T01:52:00','15',0,5.650
'2007-09-15T01:54:00','15',0,5.660
'2007-09-15T01:56:00','15',0,5.660
'2007-09-15T01:58:00','15',0,5.720
'2007-09-15T02:00:00','15',0,5.740
