timestamp,mote_id,has_fault_type,temperature
'2007-09-19T14:58:00','6',0,2.080
'2007-09-19T15:00:00','6',0,2.170
'2007-09-19T15:02:00','6',0,2.180
'2007-09-19T15:04:00','6',0,1.980
'2007-09-19T15:06:00','6',0,2.560
'2007-09-19T15:08:00','6',0,2.620
'2007-09-19T15:10:00','6',0,2.300
'2007-09-19T15:12:00','6',0,2.500
'2007-09-19T15:14:00','6',0,2.660
'2007-09-19T15:16:00','6',0,2.710
'2007-09-19T15:18:00','6',0,3.280
'2007-09-19T15:20:00','6',0,2.520
'2007-09-19T15:22:00','6',0,2.330
'2007-09-19T15:24:00','6',0,2.120
'2007-09-19T15:26:00','6',0,2.640
'2007-09-19T15:28:00','6',0,2.200
'2007-09-19T15:30:00','6',0,2.120
'2007-09-19T15:32:00','6',0,1.910
'2007-09-19T15:34:00','6',0,1.750
'2007-09-19T15:36:00','6',0,2.310
'2007-09-19T15:38:00','6',0,2.270
'2007-09-19T15:40:00','6',0,2.380
'2007-09-19T15:42:00','6',0,1.990
'2007-09-19T15:44:00','6',0,2.180
'2007-09-19T15:46:00','6',0,1.620
'2007-09-19T15:48:00','6',0,2.420
'2007-09-19T15:50:00','6',0,1.860
'2007-09-19T15:52:00','6',0,1.920
'2007-09-19T15:54:00','6',0,2.290
'2007-09-19T15:56:00','6',0,2.150
'2007-09-19T15:58:00','6',0,2.480
'2007-09-19T16:00:00','6',0,2.230
'2007-09-19T16:02:00','6',0,2.380
'2007-09-19T16:04:00','6',0,2.240
'2007-09-19T16:06:00','6',0,2.180
'2007-09-19T16:08:00','6',0,2.150
'2007-09-19T16:10:00','6',0,2.120
'2007-09-19T16:12:00','6',0,1.990
'2007-09-19T16:14:00','6',0,2.200
'2007-09-19T16:16:00','6',0,1.900
'2007-09-19T16:18:00','6',0,1.890
'2007-09-19T16:20:00','6',0,1.890
'2007-09-19T16:22:00','6',0,2.040
'2007-09-19T16:24:00','6',0,2.040
'2007-09-19T16:26:00','6',0,1.900
'2007-09-19T16:28:00','6',0,1.510
'2007-09-19T16:30:00','6',0,2.120
'2007-09-19T16:32:00','6',0,2.09
'2007-09-19T16:34:00','6',0,2.06
'2007-09-19T16:36:00','6',0,2.03
'2007-09-19T16:38:00','6',0,1.99
'2007-09-19T16:40:00','6',0,1.96
'2007-09-19T16:42:00','6',0,1.93
'2007-09-19T16:44:00','6',0,1.900
'2007-09-19T16:46:00','6',0,1.900
'2007-09-19T16:48:00','6',0,2.140
'2007-09-19T16:50:00','6',0,2.120
'2007-09-19T16:52:00','6',0,1.820
'2007-09-19T16:54:00','6',0,1.690
'2007-09-19T16:56:00','6',0,2.160
'2007-09-19T16:58:00','6',0,1.540
'2007-09-19T17:00:00','6',0,1.460
'2007-09-19T17:02:00','6',0,1.660
'2007-09-19T17:04:00','6',0,1.910
'2007-09-19T17:06:00','6',0,1.980
'2007-09-19T17:08:00','6',0,1.760
'2007-09-19T17:10:00','6',0,1.660
'2007-09-19T17:12:00','6',0,1.960
'2007-09-19T17:14:00','6',0,1.860
'2007-09-19T17:16:00','6',0,1.540
'2007-09-19T17:18:00','6',0,1.740
'2007-09-19T17:20:00','6',0,1.590
'2007-09-19T17:22:00','6',0,1.770
'2007-09-19T17:24:00','6',0,1.360
'2007-09-19T17:26:00','6',0,1.540
'2007-09-19T17:28:00','6',0,1.680
'2007-09-19T17:30:00','6',0,1.360
'2007-09-19T17:32:00','6',0,1.360
'2007-09-19T17:34:00','6',0,1.300
'2007-09-19T17:36:00','6',0,1.180
'2007-09-19T17:38:00','6',0,1.290
'2007-09-19T17:40:00','6',0,1.160
'2007-09-19T17:42:00','6',0,1.200
'2007-09-19T17:44:00','6',0,1.080
'2007-09-19T17:46:00','6',0,1.140
'2007-09-19T17:48:00','6',0,0.850
'2007-09-19T17:50:00','6',0,1.060
'2007-09-19T17:52:00','6',0,1.150
'2007-09-19T17:54:00','6',0,0.920
'2007-09-19T17:56:00','6',0,0.910
'2007-09-19T17:58:00','6',0,0.960
'2007-09-19T18:00:00','6',0,1.020
'2007-09-19T18:02:00','6',0,1.080
'2007-09-19T18:04:00','6',0,1.080
'2007-09-19T18:06:00','6',0,1.360
'2007-09-19T18:08:00','6',0,1.200
'2007-09-19T18:10:00','6',0,1.210
'2007-09-19T18:12:00','6',0,1.060
'2007-09-19T18:14:00','6',0,1.240
'2007-09-19T18:16:00','6',0,1.140
'2007-09-19T18:18:00','6',0,0.900
'2007-09-19T18:20:00','6',0,1.100
'2007-09-19T18:22:00','6',0,0.880
'2007-09-19T18:24:00','6',0,0.830
'2007-09-19T18:26:00','6',0,0.820
'2007-09-19T18:28:00','6',0,0.830
'2007-09-19T18:30:00','6',0,0.820
'2007-09-19T18:32:00','6',0,0.960
'2007-09-19T18:34:00','6',0,0.980
'2007-09-19T18:36:00','6',0,0.870
'2007-09-19T18:38:00','6',0,0.920
'2007-09-19T18:40:00','6',0,0.930
'2007-09-19T18:42:00','6',0,0.940
'2007-09-19T18:44:00','6',0,0.900
'2007-09-19T18:46:00','6',0,1.000
'2007-09-19T18:48:00','6',0,0.890
'2007-09-19T18:50:00','6',0,1.190
'2007-09-19T18:52:00','6',0,1.060
'2007-09-19T18:54:00','6',0,0.970
'2007-09-19T18:56:00','6',0,1.080
'2007-09-19T18:58:00','6',0,1.000
'2007-09-19T19:00:00','6',0,1.000
'2007-09-19T19:02:00','6',0,1.000
'2007-09-19T19:04:00','6',0,1.110
'2007-09-19T19:06:00','6',0,1.200
'2007-09-19T19:08:00','6',0,1.360
'2007-09-19T19:10:00','6',0,1.350
'2007-09-19T19:12:00','6',0,1.360
'2007-09-19T19:14:00','6',0,1.230
'2007-09-19T19:16:00','6',0,1.270
'2007-09-19T19:18:00','6',0,1.140
'2007-09-19T19:20:00','6',0,1.120
'2007-09-19T19:22:00','6',0,1.100
'2007-09-19T19:24:00','6',0,1.080
'2007-09-19T19:26:00','6',0,1.020
'2007-09-19T19:28:00','6',0,0.960
'2007-09-19T19:30:00','6',0,0.980
'2007-09-19T19:32:00','6',0,1.160
'2007-09-19T19:34:00','6',0,1.080
'2007-09-19T19:36:00','6',0,1.110
'2007-09-19T19:38:00','6',0,1.120
'2007-09-19T19:40:00','6',0,1.140
'2007-09-19T19:42:00','6',0,1.300
'2007-09-19T19:44:00','6',0,1.350
'2007-09-19T19:46:00','6',0,1.320
'2007-09-19T19:48:00','6',0,1.260
'2007-09-19T19:50:00','6',0,1.160
'2007-09-19T19:52:00','6',0,1.140
'2007-09-19T19:54:00','6',0,1.120
'2007-09-19T19:56:00','6',0,1.160
'2007-09-19T19:58:00','6',0,1.130
'2007-09-19T20:00:00','6',0,1.120
'2007-09-19T20:02:00','6',0,1.100
'2007-09-19T20:04:00','6',0,1.100
'2007-09-19T20:06:00','6',0,1.120
'2007-09-19T20:08:00','6',0,1.050
'2007-09-19T20:10:00','6',0,1.100
'2007-09-19T20:12:00','6',0,1.130
'2007-09-19T20:14:00','6',0,1.090
'2007-09-19T20:16:00','6',0,1.080
'2007-09-19T20:18:00','6',0,1.180
'2007-09-19T20:20:00','6',0,1.360
'2007-09-19T20:22:00','6',0,1.300
'2007-09-19T20:24:00','6',0,1.300
'2007-09-19T20:26:00','6',0,1.320
'2007-09-19T20:28:00','6',0,1.320
'2007-09-19T20:30:00','6',0,1.300
'2007-09-19T20:32:00','6',0,1.280
'2007-09-19T20:34:00','6',0,1.160
'2007-09-19T20:36:00','6',0,1.060
'2007-09-19T20:38:00','6',0,1.040
'2007-09-19T20:40:00','6',0,0.860
'2007-09-19T20:42:00','6',0,0.800
'2007-09-19T20:44:00','6',0,0.720
'2007-09-19T20:46:00','6',0,0.720
'2007-09-19T20:48:00','6',0,0.620
'2007-09-19T20:50:00','6',0,0.600
'2007-09-19T20:52:00','6',0,0.580
'2007-09-19T20:54:00','6',0,0.600
'2007-09-19T20:56:00','6',0,0.330
'2007-09-19T20:58:00','6',0,0.240
'2007-09-19T21:00:00','6',0,0.100
'2007-09-19T21:02:00','6',0,0.020
'2007-09-19T21:04:00','6',0,0.030
'2007-09-19T21:06:00','6',0,0.230
'2007-09-19T21:08:00','6',0,0.330
'2007-09-19T21:10:00','6',0,0.420
'2007-09-19T21:12:00','6',0,0.500
'2007-09-19T21:14:00','6',0,0.520
'2007-09-19T21:16:00','6',0,0.480
'2007-09-19T21:18:00','6',0,0.580
'2007-09-19T21:20:00','6',0,0.520
'2007-09-19T21:22:00','6',0,0.640
'2007-09-19T21:24:00','6',0,0.560
'2007-09-19T21:26:00','6',0,0.520
'2007-09-19T21:28:00','6',0,0.540
'2007-09-19T21:30:00','6',0,0.520
'2007-09-19T21:32:00','6',0,0.640
'2007-09-19T21:34:00','6',0,0.760
'2007-09-19T21:36:00','6',0,0.770
'2007-09-19T21:38:00','6',0,0.780
'2007-09-19T21:40:00','6',0,0.720
'2007-09-19T21:42:00','6',0,0.780
'2007-09-19T21:44:00','6',0,0.800
'2007-09-19T21:46:00','6',0,0.920
'2007-09-19T21:48:00','6',0,1.010
'2007-09-19T21:50:00','6',0,0.990
'2007-09-19T21:52:00','6',0,1.000
'2007-09-19T21:54:00','6',0,1.020
'2007-09-19T21:56:00','6',0,0.970
'2007-09-19T21:58:00','6',0,1.020
'2007-09-19T22:00:00','6',0,0.980
'2007-09-19T22:02:00','6',0,0.950
